            Star Name               Unit    Barium     Europium      Lanthanum          Metallicity      External or Individual
             HD003008               logE     -1.12       -1.29           x                   x                    I
             HD006833               logE     -1.22       -0.14         -0.23               -1.15                  I
             HD008724               logE     -0.92       -0.94         -0.58               -1.3                   I
             HD021581               logE     -0.32       -0.79         -0.58               -1.3                   I
             HD023798               logE       x         -1.39           x                   x                    I
             HD026297               logE     -1.72      -1.265           x                 -1.6                   I
             HD029574               logE       x        -1.815           x                   x                    I
             HD037828               logE     0.13       -0.5775        -0.58               -1.6                   I
             HD044007               logE     0.18    -0.966666667      -0.68               -1.65                  I
             HD063791               logE     0.13        -0.94         -0.63               -1.7                   I
             HD085773               logE       x     -1.706666667        x                   x                    I
             HD082590               logE     0.06          x             x                 -1.75                  I
             HD101063               logE     1.33       0.0125          0.17               -1.8                   I
             HD103036               logE       x         -1.19           x                   x                    I
             HD103454               logE     -0.42       -1.59         -1.08               -1.9                   I
             HD108317               logE     -0.53       -1.05         -0.84               -1.9                   I
             HD122563               logE     -1.79       -3.21         -2.95               -2.25                  I
             HD128279               logE     -0.69       -1.56         -2.85               -2.3                   I
             HD135148               logE     0.47    -0.983333333        x                   x                    I
             HD204543               logE     -0.13       -1.05         -0.64               -2.65                  I
      BD +191185 (HD250792)         logE       x         -0.23          0.29               -1.04                  E
      BD +521601 (HD233891)         logE       x         -0.51          0.38               -1.48                  E
            BD -010306              logE       x         -0.27          0.39               -0.88                  E
       G005-001 (BD+22396)          logE       x         -1.03          0.29               -0.9                   E
        G009-036 (G47-12)           logE       x         -0.27          0.42               -1.17                  E
       G023-014 (BD+054314)         logE       x         -1.03          0.25               -1.45                  E
       G028-043 (BD-004470)         logE       x         -0.38          0.31               -1.61                  E
             G029-025               logE       x         -0.16          0.42               -0.84                  E
              HD 20                 x/Fe     0.58        0.77           0.39               -1.39                  E
             HD 2665                x/Fe     -0.05       0.23          -0.19               -1.97                  E
             HD 2796                x/Fe     -0.16       -0.06         -0.22               -2.23                  E
             HD 3008                x/Fe     0.08        0.77            na                -1.93                  E
             HD 6268                x/Fe      0.5        0.52           0.21               -2.36                  E
             HD 6755                x/Fe     0.15         0.5           0.09               -1.57                  E
             HD 8724                x/Fe     -0.01        0.2          -0.07               -1.84                  E
             HD 13979               x/Fe     -0.5        -0.38          -0.1               -2.26                  E
             HD 25532               x/Fe     0.17         0.1          -0.07               -1.46                  E
             HD 26297               x/Fe     -0.26       0.11          -0.21               -1.87                  E
             HD 29574               x/Fe     0.59        0.76           0.38               -1.81                  E
             HD 44007               x/Fe     0.05        0.19           -0.2               -1.7                   E
             HD 63791               x/Fe     0.05        0.12          -0.21               -1.68                  E
             HD 74462               x/Fe     -0.06       0.32          -0.06               -1.56                  E
             HD 83212               x/Fe      0.4        0.51            na                -1.43                  E
